#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 00:34:49
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 00:34:49 GET / 66.249.64.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - www.birdkernanddalmia.com 200 0 6719
2017-05-01 00:40:19 GET /marilynrbird.html 50.185.220.91 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 - www.birdkernanddalmia.com 200 0 7428
2017-05-01 00:40:19 GET /apple-touch-icon-120x120-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5529
2017-05-01 00:40:19 GET /apple-touch-icon-120x120.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5505
2017-05-01 00:40:19 GET /apple-touch-icon-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5513
2017-05-01 00:40:19 GET /apple-touch-icon.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5489
2017-05-01 00:40:20 GET /favicon.ico 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5471
2017-05-01 00:40:20 GET /apple-touch-icon-120x120-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5529
2017-05-01 00:40:20 GET /apple-touch-icon-120x120.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5505
2017-05-01 00:40:20 GET /favicon.ico 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5471
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 00:59:02
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 00:59:02 GET /robots.txt 40.77.167.33 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 404 0 5469
2017-05-01 00:59:05 GET /jakarta/isapi_redirect.dll 207.46.13.100 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 7416
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 01:53:43
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 01:53:43 GET /marilynrbird.html 50.185.220.91 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_1+like+Mac+OS+X)+AppleWebKit/603.1.30+(KHTML,+like+Gecko)+Version/10.0+Mobile/14E304+Safari/602.1 - www.birdkernanddalmia.com 200 0 7428
2017-05-01 01:53:43 GET /apple-touch-icon-120x120-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5529
2017-05-01 01:53:43 GET /apple-touch-icon-120x120.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5505
2017-05-01 01:53:43 GET /apple-touch-icon-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5513
2017-05-01 01:53:43 GET /apple-touch-icon.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5489
2017-05-01 01:53:44 GET /favicon.ico 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5471
2017-05-01 01:53:44 GET /apple-touch-icon-120x120-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5529
2017-05-01 01:53:44 GET /apple-touch-icon-120x120.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5505
2017-05-01 01:53:44 GET /favicon.ico 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.4.18+Darwin/16.5.0 - www.birdkernanddalmia.com 404 0 5471
2017-05-01 02:06:07 GET /jakarta/isapi_redirect.dll 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://yandex.ru/clck/jsredir?from=yandex.ru%3Bsearch%3Bweb%3B%3B&text=&etext=1407.T5nCv_Ole8k4a3lxhK2MFQHE3_b-dNJW3iOp4UkoTXtq7BuqgzDs3xe0R2Wev9Uh.f7d907089f191a1bfc4038f7179b0bc664c319a5&uuid=&state=_BLhILn4SxNIvvL0W45KSic66uCIg23qh8iRG98qeIXmeppkgUc0YD4hgzqAYr5iuWBiLZQy-rY&data=UlNrNmk5WktYejR0eWJFYk1LdmtxcjcwV2hmckNmRTJNdWcyaDN6ek9zbkpaeTlDNFdmNGFjek1Za0RsNXRLQ19qbThFNnUwbzB6Mm1tQnhnYUZRYjY1R1VhS1B5UFdsamg3VmdtLXRBbHNnWWRXRjR6REUzbi1HMno0Y3hTNmg&b64e=2&sign=9e053de67dd7d5fd54c725200ef42d95&keyno=0&cst=AiuY0DBWFJ7IXge4WdYJQULnoVAFacUfawkcb4UEZfFr1YUrJ3fLn7oUI8GYK4FqE2VPc3zIin0q8NItCCMCO9NE_kyFxyZcuLKxwKVwNzeTVHUheXK7exzmGJRAK14ogN-93twTYt1Nf-h0El22gvLoNXLEua_J&ref=orjY4mGPRjk5boDnW0uvlrrd71vZw9kp5uQozpMtKCW4RgmAu5ryJMsMhffP37nGfeEKP4HDdaW5zQlPo8WZdzT0L7dFqa5ZV-IuoFcgUSSCiuMpuIeA1p8ODiQiaTij2Vcvqm0i10I&l10n=ru&cts=1493604314232&mc=6.54284377696 www.birdkernanddalmia.com 200 0 6566
2017-05-01 02:06:07 GET /cssone.css 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 895
2017-05-01 02:06:07 GET /Images/Pricing-button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 1730
2017-05-01 02:06:07 GET /Images/Therapist-button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3575
2017-05-01 02:06:07 GET /Images/Therapy-services.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 1511
2017-05-01 02:06:07 GET /Images/Links-Button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2792
2017-05-01 02:06:07 GET /Images/News-Button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2725
2017-05-01 02:06:07 GET /Images/contact-us-button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3778
2017-05-01 02:06:07 GET /Images/Cool-Ideas-button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3624
2017-05-01 02:06:07 GET /Images/Equipment-button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3805
