#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-13 00:31:02
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-10-13 00:31:02 GET / 104.40.84.61 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_10_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/59.0.3071.115+Safari/537.36 - birdkernanddalmia.com 200 0 6423
2017-10-13 00:37:56 GET /Scripts/AC_RunActiveContent.js 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 8613
2017-10-13 00:37:57 GET / 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 - www.birdkernanddalmia.com 200 0 6423
2017-10-13 00:37:57 GET /cssone.css 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 876
2017-10-13 00:37:57 GET /robots.txt 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 - www.birdkernanddalmia.com 404 0 5469
2017-10-13 00:37:57 GET /Images/Vision-Button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2957
2017-10-13 00:37:57 GET /Images/Therapy-services.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1492
2017-10-13 00:37:57 GET /robots.txt 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 - www.birdkernanddalmia.com 404 0 5469
2017-10-13 00:37:57 GET /Images/Pricing-button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1711
2017-10-13 00:37:57 GET /Images/Home-button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2885
2017-10-13 00:37:57 GET /Images/Therapist-button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3556
2017-10-13 00:37:57 GET /Images/Intake-Forms-Button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 4049
2017-10-13 00:37:57 GET /Images/Cool-Ideas-button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3605
2017-10-13 00:37:57 GET /Images/Equipment-button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3786
2017-10-13 00:37:57 GET /Images/News-Button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2706
2017-10-13 00:37:57 GET /Images/contact-us-button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3759
2017-10-13 00:37:57 GET /Images/Links-Button.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2773
2017-10-13 00:37:57 GET /images/bottombar.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1851
2017-10-13 00:37:57 GET /Images/Adobe-ID-044ASP365792.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 13230
2017-10-13 00:37:58 GET /images/NewAddressAnimation.gif 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1453307
2017-10-13 00:37:58 GET /Images/Home-button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2962
2017-10-13 00:37:58 GET /Images/Vision-Button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3058
2017-10-13 00:37:58 GET /Images/Therapy-services-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1659
2017-10-13 00:37:58 GET /Images/Intake-Forms-Button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 4229
2017-10-13 00:37:58 GET /Images/Pricing-button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1931
2017-10-13 00:37:58 GET /Images/Cool-Ideas-button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3744
2017-10-13 00:37:58 GET /Images/Links-Button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2851
2017-10-13 00:37:58 GET /Images/Contact-Us-Button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3901
2017-10-13 00:37:58 GET /Images/Therapsits-button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3705
2017-10-13 00:37:58 GET /favicon.ico 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 - www.birdkernanddalmia.com 404 0 5471
2017-10-13 00:37:58 GET /Images/News-Button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2778
2017-10-13 00:37:58 GET /Images/Equipment-button-MO.jpg 173.224.162.96 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:56.0)+Gecko/20100101+Firefox/56.0 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3936
