#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-17 01:10:10
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-11-17 01:10:09 GET / 165.227.207.24 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:40.0)+Gecko/20100101+Firefox/40.1 - birdkernanddalmia.com 200 0 6423
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-17 02:02:57
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-11-17 02:02:57 GET / 43.252.231.149 HTTP/1.1 - - www.birdkernanddalmia.com 200 0 6423
2017-11-17 02:02:57 GET /xmlrpc.php 43.252.231.149 HTTP/1.1 - - www.birdkernanddalmia.com 404 0 5474
2017-11-17 02:02:57 HEAD /wp-login.php 43.252.231.149 HTTP/1.1 - - www.birdkernanddalmia.com 404 0 228
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-11-17 02:37:50
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-11-17 02:37:49 GET /marilynrbird.html 73.170.32.123 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_1_1+like+Mac+OS+X)+AppleWebKit/604.3.5+(KHTML,+like+Gecko)+Version/11.0+Mobile/15B150+Safari/604.1 - www.birdkernanddalmia.com 200 0 7428
2017-11-17 02:37:49 GET /apple-touch-icon-120x120-precomposed.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/889.9+Darwin/17.2.0 - www.birdkernanddalmia.com 404 0 5529
2017-11-17 02:37:49 GET /apple-touch-icon-120x120.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/889.9+Darwin/17.2.0 - www.birdkernanddalmia.com 404 0 5505
