#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-14 00:10:19
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-02-14 00:10:19 GET /xmlrpz.php 193.106.30.99 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+rv:34.0)+Gecko/20100101+Firefox/34.0 - birdkernanddalmia.com 404 0 5470
2018-02-14 00:25:48 GET /robots.txt 217.69.133.190 HTTP/1.0 Mozilla/5.0+(compatible;+Linux+x86_64;+Mail.RU_Bot/2.0;++http://go.mail.ru/help/robots) - www.birdkernanddalmia.com 404 0 5488
2018-02-14 00:25:49 GET /jakarta/isapi_redirect.dll 217.69.133.242 HTTP/1.1 Mozilla/5.0+(compatible;+Linux+x86_64;+Mail.RU_Bot/2.0;++http://go.mail.ru/help/robots) - www.birdkernanddalmia.com 200 0 10273
2018-02-14 00:32:35 HEAD /therapists.html 69.196.253.100 HTTP/1.1 Blackboard+Safeassign - www.birdkernanddalmia.com 200 0 295
2018-02-14 00:32:37 GET /therapists.html 69.196.253.100 HTTP/1.1 Blackboard+Safeassign - www.birdkernanddalmia.com 200 0 7318
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-14 01:31:25
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-02-14 01:31:25 GET /vision.html 157.55.39.41 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 7736
2018-02-14 01:41:54 GET /Scripts/AC_RunActiveContent.js 66.249.64.29 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) http://www.birdkernanddalmia.com/intakeforms.html www.birdkernanddalmia.com 200 0 8613
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-14 01:57:37
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-02-14 01:57:36 GET /images/Bird+and+Kern+Privacy+Policy.pdf 176.103.214.93 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://www.birdkernanddalmia.com/images/Bird%20and%20Kern%20Privacy%20Policy.pdf www.birdkernanddalmia.com 200 0 404375
2018-02-14 01:57:37 GET / 176.103.214.93 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.81+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 6442
2018-02-14 01:58:31 GET /images/NewAddressAnimation.gif 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1453307
2018-02-14 01:58:55 GET /carolynkern.html 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 8083
2018-02-14 01:59:38 GET /Laura+Craine.html 67.170.213.101 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Pixel+Build/OPM1.171019.012)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/therapists.html www.birdkernanddalmia.com 200 0 7765
