#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-28 00:33:22
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2018-06-28 00:33:22 GET / 52.53.201.78 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.100+Safari/537.36 - www.birdkernanddalmia.com 200 0 6423
2018-06-28 00:42:34 GET /marilynrbird.html 73.170.32.123 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_4+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/11.0+Mobile/15E148+Safari/604.1 - www.birdkernanddalmia.com 200 0 7428
2018-06-28 00:42:34 GET /apple-touch-icon-120x120-precomposed.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5535
2018-06-28 00:42:34 GET /apple-touch-icon-120x120.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5511
2018-06-28 00:42:34 GET /apple-touch-icon-precomposed.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5519
2018-06-28 00:42:34 GET /apple-touch-icon.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5495
2018-06-28 00:42:34 GET /favicon.ico 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5477
2018-06-28 00:42:34 GET /apple-touch-icon-120x120-precomposed.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5535
2018-06-28 00:42:34 GET /apple-touch-icon-120x120.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5511
2018-06-28 00:42:34 GET /apple-touch-icon-precomposed.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5519
2018-06-28 00:42:35 GET /apple-touch-icon.png 73.170.32.123 HTTP/1.1 MobileSafari/604.1+CFNetwork/901.1+Darwin/17.6.0 - www.birdkernanddalmia.com 404 0 5495
